행,국문 회사명,기존 스테이지,최신 스테이지,반영 여부,신뢰도,근거,출처 URL,비고
27,마인드로직,Series B,Series B,변경 없음,high,"2024.3 시리즈B 70억 유치(이수만 프로듀서 참여), 누적 120억 (AI타임스/벤처스퀘어)",https://www.aitimes.com/news/articleView.html?idxno=158239,
31,래블업,Series A,Series A,변경 없음,medium,"2023.4 시리즈A 105억 유치 (플래텀), 이후 시리즈B 등 신규 라운드 보도 확인 안 됨",https://platum.kr/archives/205678,
35,사이오닉에이아이,Seed,Series A,반영,high,"2025.12 시리즈A 250억 유치(네이버클라우드·IBK 등), 누적 300억 돌파 (플래텀/와우테일/한국일보)",https://platum.kr/archives/275990,
38,주식회사 더플레이토,Seed,Seed,변경 없음,high,2025.3 시드 8억 유치(스마일게이트인베스트먼트·매쉬업벤처스) — AI 노트테이커 '티로' 운영사 (플래텀/전자신문),https://platum.kr/archives/254067,
39,클리카,Seed,Seed,변경 없음,high,2025.8 미국 플립 후 전략적 시드 유치(액센츄어 벤처스·IQT·마일마크캐피털 등) (와우테일/플래텀),https://wowtale.net/2025/08/22/245805/,본사 미국 플립 완료
46,테파로보틱스,Pre-A,Pre-A,변경 없음,high,"2025.8 20억 규모 프리A 투자 유치, 퓨처플레이·IBK벤처투자·산은캐피탈 참여 (플래텀/한국경제)",https://platum.kr/archives/268027,
47,르몽 주식회사,Pre-A,Pre-A,변경 없음,high,"2026.1 디캠프·블루포인트파트너스로부터 10억 규모 프리A 투자 유치, 누적 17억 (벤처스퀘어/스타트업투데이)",https://www.venturesquare.net/1033962,
48,틸다,Pre-A,Pre-A,변경 없음,high,"2024.2 16억 규모 프리A 투자 유치, 우리벤처투자·신보·한국사회투자·디캠프·블루포인트 참여 (머니투데이)",https://news.mt.co.kr/mtview.php?no=2024022015401435869,2025년 일본 지사 설립 등 사업 확장 중이나 이후 신규 라운드 미확인
49,와들,Pre-A,Pre-A,변경 없음,high,"카카오벤처스·본엔젤스·패스트벤처스로부터 20억 프리A 유치 (플래텀/AI타임스), 2026.2 미국 진출 기사에도 신규 라운드 언급 없음",https://platum.kr/archives/229365,
58,MutoWorld,Seed,Seed,변경 없음,low,확인 불가,https://tracxn.com/d/companies/mutoworld/__Nt15EOrtv14HMu5k_9GS3oM4QGWJ53ckzudu8DTmj88,국내 언론 투자 기사 미발견. Tracxn에는 deadpooled(활동 중단)로 표기되나 웹사이트(mutoworld.bio)는 유지 중
59,주식회사 라틀라스,Seed,Seed,변경 없음,high,"2022.1 프라이머 등으로부터 3억 시드 투자 유치, 이후 라운드 없음 (THE VC)",https://thevc.kr/lotlas,THE VC 기준 2024.12 폐업
60,(주)깃플,M&A,M&A('21),반영,high,2021.8 마이데이터 사업자 한국금융솔루션이 깃플을 흡수합병 (플래텀/딜사이트),https://platum.kr/archives/170244,"단계는 동일(M&A), 연도('21)만 보완"
62,바이오리서치에이아이,Pre-A,Pre-A,변경 없음,high,"2024.4 20억 규모 프리A 투자 유치, 누적 30억 (히트뉴스); 시리즈A는 추진 중으로 클로징 미확인",http://www.hitnews.co.kr/news/articleView.html?idxno=53701,
65,더알파랩스,,Seed,"반영(공란 채움, medium)",medium,"AR 글래스 '알파글래스' 개발사로 네이버·HAX로부터 시드 투자 유치 (로켓펀치, 2016년경)",https://www.rocketpunch.com/companies/thealphalabs,2024년 이후 소식 없음. thealphalabs.com 도메인이 매물로 나와 있어 사실상 활동 중단 추정
69,(주)컨트롤클로더,Series A,Series A,변경 없음,medium,"2020년 시리즈A 33억 마무리(누적 46억), 2022.1 클로버추얼패션 전략적 투자 (플래텀/한국섬유신문); 이후 신규 라운드 미확인",https://platum.kr/archives/150084,
73,소리를보는통로,Pre-A,Series A,미반영(근거 부족),medium,2022.8 포스텍홀딩스·블루포인트 등으로부터 14억 규모 시리즈A 투자 유치 (플래텀/벤처스퀘어),https://platum.kr/archives/191053,2022년 기사 기반이나 복수 매체 및 THE VC에서 시리즈A 확인
80,에임퓨처,Series B,Series B,변경 없음,medium,"공개 확인된 최근 라운드는 2023.7 시리즈A 50억 (ZDNet); 2024년말 시리즈B 150~200억 유치 착수, 2025 상반기 클로징 목표 (디일렉)",https://www.thelec.kr/news/articleView.html?idxno=28469,시리즈B 클로징 공식 보도는 미확인이나 기존 기재(Series B) 유지
88,로아스,Pre-A,Pre-A,변경 없음,high,2025.4 IBK벤처투자·퓨처플레이 후속 10억 포함 프리A 총 40억 마무리 (ZDNet/와우테일),https://zdnet.co.kr/view/?no=20250428134814,
91,웨이브덱,Seed,Seed,변경 없음,high,"THE VC 기준 2025년경 2억 규모 시드 투자 유치, 이후 라운드 없음",https://thevc.kr/wavedeck,
94,룰루랩,Series C,Series C,변경 없음,medium,2022.7 200억 규모 시리즈C 마무리 (와우테일/더벨); 2024 IPO 추진 계획이었으나 상장 확인 안 됨,https://wowtale.net/2022/07/12/43279/,코스닥 상장 여부 검색 결과 미확인 — 시리즈C 유지
101,써밋츠,Seed,Seed,변경 없음,high,"THE VC 기준 시드 라운드 8억원(약 2022~23년) 및 팁스 포함 누적 약 13억원, 이후 후속 라운드 확인 안 됨 (THE VC)",https://thevc.kr/summits,인도네시아 O2O 뷰티 시술 플랫폼 '마이비너스' 운영사로 동일성 확인
102,시그니처레이블,Seed,Seed,변경 없음,high,2024.3 CJ인베스트먼트·에이티넘파트너스로부터 시드 투자 유치 (플래텀/머니투데이),https://platum.kr/archives/225026,
103,오알엔피,Seed,Seed,변경 없음,medium,"2023.1 아모레퍼시픽그룹으로부터 4억원 투자 유치(케어드 운영사), 이후 신규 라운드 확인 불가 (THE VC/CEO스코어데일리)",https://thevc.kr/ornp,웰니스 스킨케어 브랜드 '케어드(kared)' 운영사로 동일성 확인
113,문코퍼레이션,알 수 없음,알 수 없음,변경 없음,low,확인 불가,https://moneypin.biz/bizno/detail/1348730550/,"화장품 제조업 법인 등록 정보만 확인, 투자 유치 기사 없음"
114,브로컬리컴퍼니,알 수 없음,알 수 없음,변경 없음,low,확인 불가,https://www.venturesquare.net/840417,"비건 스킨케어 'owndo°'·'어글리시크' 운영사. 크라우드펀딩 성공 이력만 확인, VC 투자 라운드 기사 없음"
115,(주)헤이뷰티,Pre-A,Pre-A,변경 없음,medium,"시드(더벤처스·삼성벤처투자) 후 매쉬업엔젤스·디캠프 등 후속 투자가 마지막 라운드, THE VC 기준 2019.10 폐업 (THE VC/플래텀)",https://thevc.kr/heybeauty,2019년 10월 폐업 확인 — 최종 알려진 단계 유지
117,콘스탄트,Series A,Series B,반영,high,2026.3 한국투자파트너스 주도 110억원 시리즈B 투자 유치(아모레퍼시픽·하나벤처스·디캠프 등 참여) (한국섬유신문/와우테일),https://www.ktnews.com/news/articleView.html?idxno=144337,탈모·두피케어 브랜드 '리필드(REFILLED)' 운영사
118,레지에나,Seed,Series A,미반영(근거 부족),medium,"누적 25억원 투자 및 시리즈A 유치 언급(기업정보·인터뷰 자료), THE VC 투자 2건 기록",https://thevc.kr/REZIENA,시리즈A 명시 기사 원문 미확보 — 간접 근거로 medium. HIFU 홈뷰티 디바이스 기업으로 동일성 확인
119,토브앤바나,Pre-A,Pre-A,변경 없음,low,2020 포스텍홀딩스 초기 투자 이후 신규 라운드 기사 확인 불가(2022년 시리즈A '준비 중' 언급만 존재) (매거진한경),https://magazine.hankyung.com/job-joy/article/202207199506d,화장품 샘플 플랫폼 '샘플로드' 운영사
120,그레이웨일,알 수 없음,알 수 없음,변경 없음,low,확인 불가,https://ubiz.mt.co.kr/articleView.html?no=2023090417055040492,여성 이너케어 브랜드 '톡투허' 운영(개인사업자). 투자 유치 기사 없음
121,베이직파이브,알 수 없음,알 수 없음,변경 없음,low,확인 불가,https://dcampletter.oopy.io/4b356fce-8e79-4f94-b24c-346332838c1a,"AI 헤어 컨설턴트 '헤어비' 운영, 2024년 1분기 디캠프·프론트원 입주기업. 투자 라운드 기사 없음"
122,리퀴드네이션,Seed,Seed,변경 없음,high,"2023.6 베이스인베스트먼트·굿워터캐피탈 시드 투자 유치(소셜앱 ZELLU), 이후 신규 라운드 확인 안 됨 (플래텀/와우테일)",https://platum.kr/archives/209283,드리머리 운영사. 과거 드리머리 대상 프리A 언급도 있으나 최신 라운드(2023.6)는 시드로 보도됨
126,(주)스페이스린텍,Series B,Series B,변경 없음,high,"2025.7 시리즈B 투자 유치(컴퍼니케이·스틱벤처스·신보·디캠프 등 참여, 약 50억 규모) (ZDNet Korea/더벨)",https://zdnet.co.kr/view/?no=20250712091336,
128,제이앤피메디,Series A,Series A,변경 없음,high,"2022.11 파빌리온캐피탈 주도 140억원 시리즈A(누적 160억), 이후 네이버 D2SF·TBT 전략적 투자 있으나 시리즈B 명시 라운드 없음 (팜뉴스/THE VC)",https://www.pharmnews.com/news/articleView.html?idxno=214235,
137,쓰리빌리언,Pre-IPO,IPO('24),반영,high,"2024.11.14 코스닥 상장 완료(공모가 4,500원, 시총 약 1,415억) (파이낸셜뉴스/회사 공지)",https://www.fnnews.com/news/202411141026352029,
142,심플플래닛,Series A,Pre-A,미반영(근거 부족),medium,"2024.2 국내 VC로부터 80억원 프리시리즈A 유치, 누적 약 100억 (인베스트뉴스/이투뉴스)",https://www.investnews.co.kr/news/articleView.html?idxno=3001159,확인된 최신 공개 라운드는 2024.2 프리A(80억). 기록된 Series A는 공개 자료로 확인 불가.
143,파이토리서치,Seed,Seed,변경 없음,low,"2024.2 설립 식물조직배양 스타트업, 2024 H-온드림 펠로 선발 외 공개 투자 라운드 확인 불가",https://www.nextunicorn.kr/company/39acd23e22284d47,누적 투자·단계 비공개.
150,하이,Series B,Series B,변경 없음,high,"2022 시리즈B 75억 유치, 동화약품 전략적 투자자 참여, 누적 115억 (코메디닷컴)",https://kormedi.com/1545366/,이후 시리즈C 등 신규 라운드 확인 불가.
174,슬로웨이브,Seed,Seed,변경 없음,medium,"2023.7 시드 투자 유치(스파크랩·킹슬리벤처스·디캠프·더벤처스), 이후 딥테크 팁스 선정 (벤처스퀘어)",https://www.venturesquare.net/887489,시드 이후 정식 후속 라운드 확인 불가.
185,티알,Pre-A,Pre-A,변경 없음,medium,"2026.5 대웅제약·네이버 전략적 투자 유치, THE VC 최근 단계 Pre-A (와우테일/한경)",https://www.hankyung.com/article/202605158658i,2026.5 전략적 투자는 라운드 단계 비공개; THE VC상 최근 단계 Pre-A 유지.
202,오션스바이오,Series A,IPO('25),반영,high,2025.1.14 한국거래소 코넥스(KONEX) 시장 신규 상장 (머니투데이/위키백과),https://news.mt.co.kr/mtview.php?no=2025011515590942855,"코넥스 상장. 상장 전 시리즈A(50억, 밸류 190억) 추진했으며 다음 목표 코스닥."
209,블링커스,Pre-A,Pre-A,변경 없음,medium,2022.6 프리시리즈A 15억 유치(KB인베스트먼트·퓨처플레이·디캠프) (플래텀),https://platum.kr/archives/186848,2022 이후 신규 라운드 확인 불가.
213,워시스왓,Series C,Series C,변경 없음,high,"2024.11 시리즈C 브릿지 70억 유치, 누적 510억 (와우테일/전자신문)",https://wowtale.net/2024/11/27/233821/,
216,더클로젯컴퍼니,Series B,Series B,변경 없음,low,"공개 확인된 라운드는 2019.9 시리즈A 44억, 이후 누적 70억(카카오벤처스·롯데벤처스 등)",https://thevc.kr/theclozetcompany,시리즈B 명시 기사 미확인; 기록 단계 유지. 공개 최신은 시리즈A(2019)+후속 브릿지.
223,엘알에이치알,Pre-A,Series A,반영,high,"2026.7 시리즈A 브릿지 투자 유치(스마일게이트·스파크랩), 패피스 운영사 (와우테일)",https://wowtale.net/2026/07/02/260991/,시리즈A 브릿지 라운드.
224,바인드,Pre-A,Series B,반영,high,"2026.3 시리즈B 100억 유치, 남성패션 플랫폼 애슬러 운영사(컴퍼니케이 리드, 디캠프 후속) (플래텀/와우테일)",https://platum.kr/archives/283659,
227,퍼스퍼트,알 수 없음,알 수 없음,변경 없음,low,펫테크(테일하이/요세미티펫) 스타트업; 공개 투자 라운드 확인 불가,https://www.rocketpunch.com/companies/firspurt,
229,신발연구소,Pre-A,Pre-A,변경 없음,medium,"2018.9 UTC인베스트먼트 투자 유치(카카오인베스트먼트 기투자), 이후 2022.10 폐업 (THE VC/한국섬유신문)",https://thevc.kr/shoelab,2022.10 폐업.
230,(주)멋집,Pre-A,Pre-A,변경 없음,low,"패션 스타트업 핫소스 운영사, THE VC 투자 2건(최근 단계 Pre-A), 2017.4 폐업 기록",https://thevc.kr/mutzip,THE VC상 2017.4 폐업 기록.
231,텐시티,,알 수 없음,미반영(근거 부족),low,O2O 취미클래스(토마킷/공탐) 스타트업; 공개 투자 라운드 확인 불가,https://www.rocketpunch.com/companies/tencity,
234,테일러타운,Series A,Series A,변경 없음,high,"2024.6 굿워터캐피탈 단독 54억원 시리즈A 유치, 누적 63억 (플래텀)",https://platum.kr/archives/230045,
242,인에디트,Pre-A,Pre-A,변경 없음,medium,"2022.7 DCM벤처스·DG다이와벤처스 리드 프리시리즈A 유치, 이후 신규 라운드 보도 없음 (THE VC/원티드)",https://thevc.kr/inedit,YC 2021 배치 출신. 2024년 매출 40억 등 사업 지속 중
251,비에이엠코퍼레이션,Seed,Seed,변경 없음,low,확인 불가 (투자 유치 관련 보도·THE VC 라운드 정보 미확인),https://bamcorp.oopy.io,이커머스 운영대행사로 사업 지속 중이나 외부 투자 라운드 뉴스 없음
252,엔드앤드럭셔리,Seed,Seed,변경 없음,medium,"더벤처스·디캠프 시드 투자 (플래텀 2022), THE VC 투자 라운드 2건(Seed)이 최종",https://thevc.kr/endandluxury,B2B 중고 명품 거래 플랫폼 엔드앤드(ENDAND)
253,사이클로이드,Seed,Seed,변경 없음,high,"2023.10 인포뱅크 시드 투자가 최종 라운드 (THE VC), 2025.4 신보 퍼스트펭귄 선정(보증 20억, 지분투자 아님)",https://thevc.kr/cycloid,"전기이륜차 플랫폼 '바드림' 운영, 사업 활발히 지속 중"
258,트라이큐빅스코리아,Pre-A,Pre-A,변경 없음,low,THE VC 투자 3건(최근 단계 Seed 표기)이나 Pre-A 이후 신규 라운드 보도 미확인,https://thevc.kr/tricubicskorea,무인점포 AI 솔루션 '온더고'. 2021 씨엔티테크 TIPS 선정. 검색 노출되는 '큐빅(CUBIG)' 시리즈A(2025)는 동명이사 다른 회사
259,누트컴퍼니,Pre-A,Pre-A,변경 없음,high,"2022.5 프리시리즈A 22억 이후 2023.9 굿노트 전략적 투자 25억(라운드 명칭 없는 SI 투자, 누적 57억) (플래텀/전자신문)",https://platum.kr/archives/214337,디지털 문구 플랫폼 '위버딩' 운영
265,윤앤컴퍼니,Series A,Series A,변경 없음,low,타운어스 운영사 시절 디캠프·아이디어브릿지 10억 시리즈A(2016) 이후 신규 라운드 미확인 (이데일리/플래텀),https://www.edaily.co.kr/news/read?newsId=01597366612776184&mediaCodeNo=257,"구 법인 타운컴퍼니는 THE VC 기준 2020.4 폐업 처리, 윤앤컴퍼니 법인으로 타운어스 서비스 지속 중으로 추정"
266,슈퍼갈땐슈퍼맨,Seed,Seed,변경 없음,medium,"2015.11 프라이머, 2016.1 SAZZE파트너스 시드 투자가 최종 (로켓펀치/THE VC)",https://thevc.kr/supermenz,2020.3.19 폐업
267,이지앤모어,Seed,Seed,변경 없음,medium,"THE VC 투자 정보 1건(초기 임팩트 투자)뿐, 이후 라운드 보도 없음",https://thevc.kr/easeandmore,월경용품 소셜벤처. 최근 수년간 투자·사업 관련 신규 보도 없음
268,(주)마켓공칠,M&A,M&A,변경 없음,low,창업자(김민준)의 크런치프라이스 매각 회고글로 매각 사실은 확인되나 인수 주체·연도 미확인,https://medium.com/@mjkim_54498/%ED%81%AC%EB%9F%B0%EC%B9%98-%ED%94%84%EB%9D%BC%EC%9D%B4%EC%8A%A4-%EC%83%88%EB%A1%9C%EC%9A%B4-%EB%8F%84%EC%A0%84%EC%9D%84-%EC%8B%9C%EC%9E%91%ED%95%98%EB%A9%B0-ba20c7ebb6db,크런치프라이스 쇼핑몰 서비스는 2022.3.17 종료. M&A 연도 특정 불가하여 연도 미기재
269,원모먼트,Pre-A,Pre-A,변경 없음,medium,"2016 본엔젤스 4억 시드, 2018 캡스톤파트너스 5억 후속(누적 9억+) 이후 신규 라운드 보도 없음 (플래텀)",https://platum.kr/archives/92758,꽃배달 서비스 지속 운영 중(1moment.co.kr)
275,마들렌메모리,Pre-A,Pre-A,변경 없음,high,2025.4 에이벤처스 리드 21억 프리A2 라운드 유치 (플래텀/바이라인네트워크),https://platum.kr/archives/257644,브랜드 리세일 솔루션 '릴레이' 운영
279,남도마켓,Pre-A,Pre-A,변경 없음,high,2025.5 15억 추가 유치로 총 35억 규모 프리A 라운드 마무리 (와우테일),https://wowtale.net/2025/05/15/240881/,
281,인플루디오,Series A,Series A,변경 없음,high,"2023.6 한국투자파트너스 리드 20억 시리즈A(누적 33억), 이후 신규 라운드 보도 없음 (플래텀)",https://platum.kr/archives/209243,K-pop 포토카드 플랫폼 '포카마켓' 운영
290,인비저블아이디어,Pre-A,Pre-A,변경 없음,medium,"드라이브스루 앱 '스루' 운영사, 2022 시드 후 2023 하반기 프리A 라운드 유치 및 팁스 선정 (벤처스퀘어/넥스트라운드)",https://www.nextround.kr/startup/detail/2430,2024년 이후 후속 라운드 보도 없음
295,인텔리시스,Pre-A,Pre-A,변경 없음,low,확인 불가 — AI 패션 큐레이션 '핏츠미' 운영사로 확인되나 2020년경 '프리A 유치 활동 중' 기사 외 최근 라운드 보도 없음,https://thevc.kr/intellisys,
298,스튜디오랩,Pre-A,Pre-A,변경 없음,high,2025.2 SBI인베스트먼트 주도 33억 원 규모 프리A 라운드 마무리 (플래텀/머니투데이),https://platum.kr/archives/251656,"셀러캔버스→젠시(GENCY) 운영, CES 2년 연속 혁신상"
307,주식회사 웨이브온,Seed,Seed,변경 없음,medium,"이놈들연구소(삼성 스핀오프 1호, 스마트밴드 Sgnl)에서 사명 변경한 회사로 확인, 2016.5 중국 창업방·DT캐피털 시드 이후 공개된 후속 라운드 없음 (THE VC)",https://thevc.kr/InnomdleLaboratory,노코드 툴 '웨이브온'(스카이링크)과 동명이인 주의
308,커피팅,Seed,Seed,변경 없음,high,2024.3 프라이머로부터 시드 투자 유치 (플래텀/벤처스퀘어),https://platum.kr/archives/224538,
309,닛픽,Seed,Seed,변경 없음,medium,"THE VC 기준 투자 라운드 Seed 1건이 전부, 이후 후속 라운드 없음",https://thevc.kr/nitpick,"'불편함' 앱 서비스는 인사이트랩에 양도(서비스 인수), 현재 icbox로 피벗한 것으로 보임"
310,디에이엘컴퍼니,Seed,Seed,변경 없음,medium,"펨테크 '달채비' 운영사, 스마일게이트인베스트먼트 시드 투자 유치 (플래텀, 2022) 이후 후속 라운드 보도 없음",https://platum.kr/archives/182838,
311,시놀,Seed,Seed,변경 없음,high,"2023.5 에이유엠벤처스 시드(3억) 등 시드 단계 투자만 확인, THE VC 기준 2026년 현재 Seed까지 유치 (머니투데이/THE VC)",https://thevc.kr/sinor,
314,로쉬코리아,Pre-A,Pre-A,변경 없음,high,2024.5 유진자산운용·씨엔티테크·뉴본벤처스 프리A 투자 유치 (플래텀/와우테일),https://platum.kr/archives/228433,액티브시니어 브랜드 '오뉴' 운영
318,팔루썸니,알 수 없음,알 수 없음,변경 없음,low,"확인 불가 — 김박사넷 운영사, 공개된 투자 라운드 정보 없음",https://www.rocketpunch.com/companies/palusomni,
319,굳건,알 수 없음,알 수 없음,변경 없음,low,확인 불가 — 영어 커뮤니티 '던바이어스' 운영 중이나 공개된 투자 유치 정보 없음,https://www.rocketpunch.com/companies/gudgeon,
320,"피움랩스 주식회사(Pium, Inc.)",Pre-A,Pre-A,변경 없음,medium,"THE VC 기준 총 5건 투자, 최근 단계 Pre-A (마지막 라운드 2019년경, 이후 신규 라운드 없음)",https://thevc.kr/PiumLabs,
321,(주)이웃벤처,M&A,M&A('20),반영,high,2020.10 직방이 욕실·주방청소 서비스 '호텔리브' 운영사 이웃벤처 인수 (플래텀/전자신문),https://platum.kr/archives/149849,M&A 연도('20) 추가
322,(주)노예스런,M&A,M&A,변경 없음,low,"확인 불가 — MEEFF(미프) 운영사, M&A 관련 보도·연도를 확인하지 못함 (THE VC에는 2020.5 영업종료로 표기되나 MEEFF 앱은 운영 지속)",https://thevc.kr/noyesrun,"M&A 연도 미확인으로 기존 표기 유지, 추가 확인 필요"
323,로켓뷰(주),M&A,M&A('22),반영,high,2022.3 CJ올리브영이 '찍검' 운영사 로켓뷰 인수 (한국경제),https://www.hankyung.com/article/202203016077Y,M&A 연도('22) 추가. 법인은 2022.12 폐업 (THE VC)
329,세븐픽쳐스,Pre-A,Pre-A,변경 없음,medium,"2022.9 넷플연가 운영사 세븐픽쳐스 14억 프리A 유치 (플래텀), 이후 신규 라운드 확인 안 됨",https://platum.kr/archives/193577,
330,리브라이블리,Pre-A,Pre-A,변경 없음,medium,"2022.5 노리케어 운영사 시드 유치(디캠프·파인드어스), THE VC 투자 3건·2025년 프리A 후속 추진 언급 — 프리A 완료 기사 미확인",https://thevc.kr/livelively,"프리A 클로징 여부 명시 기사 없음, 기존 기록 유지"
334,디스콰이엇,Pre-A,Pre-A,변경 없음,medium,"2022.11 프리A 유치(KB인베스트먼트·위벤처스·디캠프) (머니투데이), 이후 신규 라운드 확인 안 됨",https://news.mt.co.kr/mtview.php?no=2022110211210657834,
338,콥틱,Series A,Series B,반영,high,"2025.4 시리즈B 80억 유치(헬리오스벤처스·KH벤처파트너스·산업은행), 2025.7 시리즈B 브릿지 20억 라운드 진행 (더벨)",https://www.thebell.co.kr/front/newsview.asp?code=0303&key=202507211514000440109463,
339,몽가타,Pre-A,Pre-A,변경 없음,high,"THE VC 기준 투자 3건, 최근 단계 Pre-A (수면 솔루션 스웨이베드)",https://thevc.kr/mongata,
345,나인투식스,Series A,Pre-A,미반영(근거 부족),medium,"THE VC/넥스트유니콘 기준 투자 3건, 최근 라운드 Pre-A(약 4년 전) — 시리즈A 유치 근거 미확인",https://thevc.kr/ninetosix,"기존 기록 Series A를 뒷받침하는 기사·DB 없음, THE VC 최신 단계 Pre-A로 정정"
348,팩토리얼,Seed,Seed,변경 없음,medium,"소풍(sopoong)·SOPOONG 계열 초기(시드) 투자 이력만 확인, THE VC 기준 2026.1 폐업",https://thevc.kr/factoreal,2026년 1월 폐업 (THE VC)
349,해브어,Seed,Seed,변경 없음,low,확인 불가,https://thevc.kr/havea,"2022.7 설립 하이엔드 홈퍼니싱 플랫폼, 공개된 투자 라운드 기사 없음"
350,오렌지필드,Seed,Seed,변경 없음,high,"THE VC 기준 투자 1건, 최근 단계 Seed (여행·캠핑 분야, 2022.11 설립)",https://thevc.kr/orangefield,
353,잇더컴퍼니,Pre-A,Pre-A,변경 없음,medium,"2021.2 뉴패러다임인베스트먼트 프리A 유치 (플래텀/딜사이트), 이후 신규 라운드 확인 안 됨",https://platum.kr/archives/157891,
354,테이스트샵,Seed,Seed,변경 없음,medium,"매쉬업엔젤스 시드 후 SK플래닛·스프링캠프(2020.7) 투자, 누적 20.5억 — 시리즈A 명명 라운드 확인 안 됨",https://thevc.kr/tasteshop,저탄수 베이커리 '그림의빵(그림스브레드)' 운영
356,리필리,Pre-A,Pre-A,변경 없음,high,"2022 시드 8억(블루포인트·롯데벤처스 등) 후 2024년 초 누적 18억 Pre-A 유치, THE VC 최근 단계 Pre-A",https://thevc.kr/refeely,
358,리얼니즈,,알 수 없음,미반영(근거 부족),low,확인 불가,,"개인사업자(612-20-99018) 추정, 웹사이트 없음, 검색으로 동일 기업 식별 불가"
359,포그라운드,,알 수 없음,미반영(근거 부족),low,확인 불가,,"성남 소재 인터랙티브 콘텐츠 개발사 포그라운드(주) 프로필만 확인, 투자 이력 정보 없음"
365,파프리카데이터랩,Seed,Seed,변경 없음,medium,2023.2 한국투자액셀러레이터 시드1 유치 및 후속 시드 투자(폼빌더 '왈라' 운영사) (플래텀),https://platum.kr/archives/203253,"투자자에 스마일게이트인베스트먼트·더벤처스 포함, 시드 단계로 확인"
369,(주)딥벨리데이션,Seed,Seed,변경 없음,medium,"2018.4 케이큐브벤처스·GS홈쇼핑·디캠프로부터 4.4억 시드 투자 유치 (플래텀), 이후 후속 라운드 보도 없음",https://platum.kr/archives/86594,2018년 시드 이후 투자·사업 관련 최신 보도가 확인되지 않음
370,지와이네트웍스,M&A,M&A('21),반영,high,2021.10 OGQ가 지와이네트웍스 지분 100% 인수 (THE VC/언론 보도),https://thevc.kr/gynetworks,기존 M&A 기록에 인수 연도('21)만 보강
371,디씨엑스코리아,,알 수 없음,미반영(근거 부족),low,확인 불가,,'디씨엑스코리아'/'클립채널' 관련 투자·기업 정보가 웹에서 확인되지 않음 (동명 타사만 검색됨)
372,틱택코리아,알 수 없음,Series A,"반영(공란 채움, medium)",medium,"2024.7 싱가포르 본사 Tictag이 Telkomsel Ventures 주도 시리즈A 유치 (e27), 2022.6 프리A US$1.3M",https://e27.co/telkomsel-ventures-leads-data-and-ai-as-a-service-startup-tictags-series-a-round-20240716/,"틱택코리아는 싱가포르 Tictag Pte Ltd의 한국 법인, 라운드는 본사 기준"
374,메이아이,Series A,Series A,변경 없음,high,"삼성벤처투자 주도 60억 시리즈A 유치(2023), 이후 시리즈B 보도 없음 (서울경제/THE VC)",https://thevc.kr/may-i,
